uniprot,entrez_id
P03468,956530
P03474,26824004
Q12908,6555
Q14973,6554
P04629,4914
Q16620,4915
Q16288,4916
P03886,4535
P03891,4536
P03897,4537
P03901,4539
P03905,4538
P03915,4540
P03923,4541
Q9NRX3,56901
P41143,4985
P41145,4986
P35372,4988
O43613,3061
O43614,3062
P30559,5021
P56373,5024
P47900,5028
P41231,5029
P51582,5030
Q15077,5031
Q9H244,64805
Q9NXG6,54681
P13423,45025512
P25116,2149
P0AFI2,75203584
P0AFI2,947499
Q9HUK1,879741
P20083,93778963
P20083,947501
Q9HUJ8,879897
P09874,142
Q9UGN5,10038
Q9Y6F1,10039
P03433,956535
Q9QLI9,956547
P03428,956536
P02918,947907
Q07806,881163
P02919,944843
Q8NBP7,255738
Q9NZQ7,29126
Q9Y5Y4,11251
Q13258,5729
Q15116,5133
Q9Y233,10846
P54750,5136
Q01064,5153
Q14123,5137
O00408,5138
Q14432,5139
Q13370,5140
P27815,5141
Q07343,5142
Q08493,5143
Q08499,5144
O76074,8654
P16499,5145
P35913,5158
P51160,5146
O43924,5147
Q13946,5150
Q9NP56,27115
O60658,5151
O95263,8622
O76083,5152
P07237,5034
P34995,5731
P43116,5732
P43115,5733
P35408,5734
Q9NZ42,55851
P0DJD9,5222
P07202,7173
P43088,5737
A0A7H0DN30,72551453
P33815,1486573
P16234,5156
P09619,5159
P23219,5742
P35354,5743
P00439,5053
P43119,5739
P42336,5290
O00329,5293
P48736,5294
P49763,5228
P00747,5340
P40967,6490
P00491,4860
Q08209,5530
Q07869,5465
Q03181,5467
P37231,5468
P62937,5478
P06401,5241
P49642,5557
P49643,5558
P04070,5624
P07225,5627
P62333,5706
P62191,5700
P17980,5702
P43686,5704
P35998,5701
P62195,5705
P25786,5682
P25787,5683
P25788,5684
P25789,5685
P28066,5686
P60900,5687
O14818,5688
P40306,5699
A5LHX3,122706
P20618,5689
P49721,5690
P49720,5691
P28070,5692
P28074,5693
P28072,5694
Q99436,5695
P28062,5696
P28065,5698
O00231,5717
O00232,5718
Q9UNM6,5719
O00487,10213
Q8TAA3,143471
Q99460,5707
Q13200,5708
O43242,5709
P55036,5710
Q15008,9861
P51665,5713
P48556,5714
P49768,5663
P49810,5664
P25105,5724
P41222,5730
Q03431,5745
Q13882,5753
Q06203,5471
P22102,2618
Q02127,1723
P04049,5894
O60894,10267
O60895,10266
O60896,10268
P10276,5914
P10826,5915
P13631,5916
P01116,3845
P62877,9978
P03431,956534
P00797,5972
P07949,5979
P23921,6240
Q7LG56,50484
P31350,6241
P62906,4736
P0A7J3,93777909
P0A7J3,948490
P27635,6134
P9WHE7,45424611
P9WHE7,888049
Q9HWC7,77219189
Q9HWC7,881702
Q2G0N9,3920374
P66051,45653385
P0A7J7,93777911
P0A7J7,948484
P62913,6135
P9WHE5,45424600
P9WHE5,888045
Q9HWC5,77219187
Q9HWC5,881705
P0A0F4,3920372
P0A0F4,98344871
Q8CWS9,93739230
P30050,6136
P40429,23521
P0AA10,89518067
P0AA10,947828
P26373,6137
P9WHE1,45427433
P9WHE1,887584
Q9HVY2,881275
Q2FW38,3920856
Q2FW38,98346530
P0ADY3,93778677
P0ADY3,947809
P50914,9045
P9WHD9,888411
P9WHD9,93493169
Q9HWE5,77219208
Q9HWE5,881811
Q2FW16,3920878
Q2FW16,98346552
P0A474,93738967
P02413,947798
P61313,6138
P9WHD7,888531
Q9HWF4,77219217
Q9HWF4,881805
P0A0F8,3920869
P0A0F8,98346543
Q8CWV0,45652290
P0ADY7,93778674
P0ADY7,947806
P9WHD5,888377
Q9HWE2,881758
Q2FW13,3920881
Q2FW13,98346555
P0A476,93738964
P0AG44,947784
P0AG44,97442834
P18621,6139
P9WHD3,45427445
P9WHD3,887523
O52761,77219224
O52761,881767
Q2FW33,3920861
Q2FW33,98346535
Q8CWU8,93738984
Q02543,6142
P0C018,947804
P0C018,98390426
Q07020,6141
P9WHD1,45424685
P9WHD1,888457
Q9HWF1,77219214
Q9HWF1,881795
Q2FW22,3920872
Q8CWV2,93738973
P0A7K6,93774456
P0A7K6,947096
P84098,6143
P9WHC9,45426891
P9WHC9,887356
Q9HXQ2,77219764
Q9HXQ2,880339
Q2FZ42,3919477
Q2FZ42,98345556
P0A7L0,93777910
P0A7L0,948483
P9WHC7,45424601
P9WHC7,888043
Q9HWC6,77219188
Q9HWC6,881704
Q2G0P0,3920373
Q2G0P0,98344872
P66096,93739231
P0A7L3,945152
P0A7L3,98388757
P9WHC5,45425613
P9WHC5,885455
Q9I0A2,79913049
Q9I0A2,882982
Q2FXQ1,3920426
Q2FXQ1,98346040
P66113,45653697
P0AG48,93778795
P0AG48,949057
P46778,6144
P9WHC3,885715
Q9HVL6,881148
Q2FXS8,3920555
Q2FXS8,66839833
Q8CWR5,93739805
P61175,93778672
P61175,947813
P35268,6146
P9WHC1,888359
Q9HWE0,881762
Q9HWE0,98636788
Q2FW11,3920883
Q2FW11,98346557
P61183,93738962
P62750,6147
P0ADZ0,93778669
P0ADZ0,947819
P62829,9349
P9WHB9,888353
Q9HWD7,77219200
Q9HWD7,881753
Q2FW08,3920886
P60624,93778678
P60624,947810
P83731,6152
P9WHB7,45424680
P9WHB7,888421
Q9HWE6,77219209
Q9HWE6,881810
Q2FW17,3920877
P60630,93738968
P68919,93774996
P68919,945618
P9WHB5,885992
Q9HVC4,881395
P61254,6154
P46776,6157
P0A7L8,93778796
P0A7L8,945190
P61353,6155
P9WHB3,45426431
P9WHB3,885919
Q9HVL7,77223074
Q9HVL7,880878
Q2FXT0,3920553
Q2FXT0,98346013
P9WHB1,886920
P9WHA9,887801
P0A7M2,93778350
P0A7M2,946941
P46779,6158
Q9HTN8,77223849
Q9HTN8,880891
Q2FZ60,3919324
Q2FZ60,98345539
P66156,93921138
P0A7M6,93778675
P0A7M6,947807
P47914,6159
P9WHA7,45424674
P9WHA7,888374
Q9HWE3,79911813
Q9HWE3,881771
Q2FW14,3920880
Q2FW14,98346554
P0A484,93738965
P60422,93778670
P60422,947820
P9WHA5,45424669
P9WHA5,888341
Q9HWD8,77219201
Q9HWD8,881749
P60430,3920885
P60430,98346559
Q8CWV5,93738960
P0AG51,93778685
P0AG51,947797
P62888,6156
P9WHA3,45424687
P9WHA3,888505
Q9HWF3,77219216
Q9HWF3,881787
P0A0G2,3920870
Q8CWV1,93738975
P0A7N1,944960
Q9HY25,880137
Q2FWD8,3919404
P0A7M9,93777962
P0A7M9,948425
P62899,6160
P9WHA1,45425272
P9WHA1,886955
Q9HUD0,881149
P0A7N4,93776319
P0A7N4,945657
P62910,6161
P9WH99,3205057
P9WH99,45424948
Q9HZN4,77220539
Q9HZN4,880144
Q8CWN3,49598937
P9WH97,45426035
P9WH97,887807
P9WH95,3205042
P0A7N9,946318
P0A7N9,97607673
Q9HTN9,77223848
Q9HTN9,877813
P0A7P5,948216
P0A7P5,98190980
P49207,6164
P9WH93,45427924
P9WH93,886258
P29436,79911171
P29436,877911
Q2FUQ0,3921318
Q2FUQ0,98347025
P66257,93738550
P18077,6165
P0A7Q1,946349
P0A7Q1,97601348
P42766,11224
P9WH91,45425612
P9WH91,885145
Q9I0A1,77220769
Q9I0A1,879426
Q2FXQ0,3920427
Q2FXQ0,98346041
P66279,93739777
Q9HWF6,77219219
Q9HWF6,881839
Q2EEQ2,1450238
Q2EEQ2,86945208
Q9HY26,880142
P83881,6173
P0A7Q6,947805
P0A7Q6,98390421
Q9Y3U8,25873
P9WH89,45427450
P9WH89,887272
Q2FW29,3920865
Q2FW29,98346539
P0A496,93964224
P61513,6168
P61927,6167
P63173,6169
P62891,6170
P60438,86948184
P60438,947817
P39023,6122
P9WH87,45424666
P9WH87,888343
Q9HWD5,77219198
Q9HWD5,881728
Q2FW06,3920888
Q2FW06,98346562
Q8CWV8,93738957
P60723,947818
P60723,97442859
P36578,6124
P9WH85,888345
Q9HWD6,77219199
Q9HWD6,881754
Q2FW07,3920887
Q8CWV7,45652308
P62399,93778679
P62399,947800
P46777,6125
P9WH83,45424681
P9WH83,888400
Q9HWE7,881779
Q2FW18,3920876
Q8CWV4,93738969
P0AG55,86948169
P0AG55,947803
Q02878,6128
P9WH81,45424684
P9WH81,888433
Q9HWF0,77219213
Q9HWF0,881796
Q2FW21,3920873
P62424,6130
P0A7K2,86944525
P0A7K2,948489
P18124,6129
P9WHE3,45424612
P9WHE3,888078
Q9HWC8,77219190
Q9HWC8,881701
P48860,3920375
P48860,98344874
P0A472,45653386
P62917,6132
P32969,6133
P9WH79,45424015
P9WH79,887010
Q9HUN2,77223479
Q9HUN2,879626
Q2G2T3,3919188
P66321,45652575
P05388,6175
P05386,6176
Q13464,6093
O75116,9475
Q04912,4486
P08922,6098
Q16518,6121
P0A7Z4,93778692
P0A7Z4,947794
Q18CF1,66352564
P0A8V2,93777907
P0A8V2,948488
Q18CF3,66352565
P0A8T7,93777906
P0A8T7,948487
Q182S6,66354988
P0A800,948160
P0A800,98390719
P0A7R5,93778666
P0A7R5,947816
P46783,6204
P9WH67,888331
P9WH67,93438601
Q9HWD4,77261717
Q9HWD4,881717
P66340,93738956
P0A7R9,93778690
P0A7R9,947792
P62280,6205
P9WH65,45427448
P9WH65,887524
Q9HWF8,881817
Q9HWF8,88184059
Q2FW31,3920863
Q2FW31,98346537
P66360,93964226
P0A7S3,947845
P0A7S3,98390450
P25398,6206
P9WH63,45424644
P9WH63,888259
Q9HWD0,77219193
Q9HWD0,881709
P0A0H0,3920380
P0A0H0,98344879
P0A4A8,93922571
P0A7S9,93778689
P0A7S9,947791
P62277,6207
P9WH61,45427449
P9WH61,887514
Q9HWF7,881818
Q2FW30,3920864
Q2FW30,66840438
P66393,93738981
P9WH57,888414
P0AG59,93778680
P0AG59,947801
P62263,6208
P9WH59,45426034
P9WH59,887819
Q9HWE8,77219211
Q9HWE8,881778
Q2FYU5,3920194
Q2FYU5,98345705
P66420,45652296
P62244,6210
P0ADZ4,93778818
P0ADZ4,947686
P62841,6209
P9WH55,45426774
P9WH55,888455
Q9HV58,77223276
Q9HV58,881675
Q2G2Q1,3919981
Q8CWQ0,93847676
P0A7T3,93774459
P0A7T3,947103
P62249,6217
P9WH53,45426896
P9WH53,888631
Q9HXP9,77219761
Q9HXP9,880510
Q2FZ45,3919474
Q2FZ45,66839430
P66445,45653854
P0AG63,93778676
P0AG63,947808
P08708,6218
P9WH51,888391
Q9HWE4,77219207
Q9HWE4,881770
Q2FW15,3920879
Q2FW15,98346553
P0A4B4,93920913
P9WH49,45424014
P9WH49,887022
P9WH47,887817
P0A7T7,948721
P0A7T7,98186237
P62269,6222
Q9HUN0,79910526
Q9HUN0,878035
Q2G111,3921823
Q2G111,98344693
P66473,93963800
P0A7U3,947811
P0A7U3,98390438
P39019,6223
P9WH45,45424670
P9WH45,888356
Q9HWD9,77219202
Q9HWD9,881748
Q2FW10,3920884
Q2FW10,98346558
P0A4B6,93920908
P0AG67,93776506
P0AG67,945536
P9WH43,885188
Q9HZ71,77220319
Q9HZ71,882562
Q8CWR9,45653782
P0A7U7,93777413
P0A7U7,944759
P60866,6224
P9WH41,885676
Q9HVM1,879605
Q2FXY6,3921801
Q2FXY6,66839775
Q8CWS0,93739844
P68679,947577
P68679,98390195
P63220,6227
Q9I5V8,880307
Q9I5V8,88187573
Q2FXZ7,3920089
Q2FXZ7,98345946
P66525,45653328
P62266,6228
P62847,6229
P62851,6230
P62854,6231
P62979,6233
P42677,6232
P62857,6234
P62273,6235
P0A7V0,89519558
P0A7V0,947874
P15880,6187
P9WH39,45426878
P9WH39,887187
O82850,880593
Q2FZ25,98345571
P62861,2197
P62945,6171
P61247,6189
P0A7V3,947814
P0A7V3,97603663
P23396,6188
P9WH37,45424672
P9WH37,888357
Q9HWE1,77219204
Q9HWE1,881761
Q2FW12,3920882
Q2FW12,98346556
P0A4C4,49600535
P62701,6191
P22090,6192
P0A7V8,93778691
P0A7V8,947793
P9WH35,45427447
P9WH35,887620
O52759,881814
Q2FXK6,3921779
P66566,93738707
P0A7W1,93778684
P0A7W1,947795
P46782,6193
P9WH33,45424686
P9WH33,888465
Q9HWF2,77219215
Q9HWF2,881788
Q2FW23,3920871
P66582,45652292
P02358,948723
P62753,6194
P9WH31,45424012
P9WH31,887020
Q9HUM9,77223482
Q9HUM9,877646
Q2G113,3921821
Q2G113,98344691
P66603,45653220
P02359,947846
P62081,6201
P9WH29,45424645
P9WH29,888245
Q9HWD1,77219194
Q9HWD1,881745
P48940,3920381
P48940,98344880
Q8CWU6,93738576
P0A7W7,93778681
P0A7W7,947802
P62241,6202
P9WH27,45424683
P9WH27,888424
Q9HWE9,77219212
Q9HWE9,881738
Q2FW20,3920874
Q2FW20,98346548
P66633,45652295
P0A7X3,949000
P0A7X3,98390344
P46781,6203
P9WH25,45427432
P9WH25,887488
Q9HVY3,881274
Q2FW39,3920855
Q8CWU4,93922492
P08865,3921
P19793,6256
P28702,6257
P48443,6258
P21817,6261
Q15413,6263
Q13621,6557
P55017,6559
P21453,1901
O95136,9294
Q99500,1903
O95977,8698
Q9H228,53637
Q4U2R8,9356
Q8TCC7,9376
Q9NSA0,55867
Q96S37,116085
Q99808,2030
P18405,6715
P31213,6716
P13866,6523
P31639,6524
P30531,6529
P23975,6530
Q01959,6531
P31645,6532
P35498,6323
Q99250,6326
Q9NY46,6328
P35499,6329
Q14524,6331
Q01118,6332
Q9UQD0,6334
Q15858,6335
Q9Y5Y9,6336
Q9UI33,11280
P37088,6337
P51168,6338
P51170,6340
P47872,6344
P31431,6385
P60896,7979
Q99720,10280
P48764,6550
Q9NQ25,57823
Q16637,6606
Q16637,6607
Q99835,6608
P60880,6616
P35610,6646
Q9BQB4,50964
P0DTC2,43740568
Q9H8P0,79644
P12931,6714
Q9H3Y6,6725
P51649,7915
P30872,6751
P30874,6752
P32745,6753
P31391,6754
P35346,6755
P14410,6476
Q7L0J3,9900
P21731,6915
P09758,4070
Q71U36,7846
P68363,10376
Q9BQE3,84790
P0DPH7,7278
Q6PEY2,112714
P68366,7277
Q9H4B7,81027
Q13885,7280
Q9BVA1,347733
Q13509,10381
P04350,10382
P68371,10383
P07437,203068
Q9BUF5,84617
Q3ZCM7,347688
P42680,7006
O14746,7015
P10646,7035
P13726,2152
P01137,7040
P61812,7042
P10600,7043
P24557,6916
P10827,7067
P10828,7068
P00734,2147
Q02763,7010
Q9NYK1,51284
Q9NR96,54106
Q9Y275,10673
O14788,8600
P01375,7124
Q02223,608
P28908,943
P11387,7150
P11388,7153
Q02880,7155
P04977,69599992
P04978,69599991
P04979,69599988
P0A3R5,93206104
P00750,5327
P17752,7166
Q8IWU9,121278
P40238,4352
P34981,7201
O75762,8989
Q7Z2W7,79054
Q8NER1,7442
Q9HBA0,59341
Q16881,7296
P16473,7253
Q969D9,85480
P30536,706
P02766,7276
P42681,7294
P07101,7054
P29597,7297
P19971,1890
P14679,7299
P12461,3643463
P0CS13,4938566
P0A884,93779171
P0A884,949035
P04818,7298
P30530,558
P11172,7372
P00749,5328
P37288,552
P47901,553
P30518,554
P63027,6844
P11473,7421
P15692,7422
P17948,2321
P35968,3791
P35916,2324
Q05320,911829
P38435,2677
Q9BQB6,79001
Q05940,6571
P04275,7450
P47989,7498
O14980,7514
P07947,7525
G4WW85,4984452
Q4WLT4,3508424
F2SHH3,10373436
F2SZD3,10371186
F2SG63,10378847
F2SZ02,10371174
F2SF18,10373871
E0V9R7,8233823
E0VQ46,8233620
E0W4F7,8239920
E0VZW4,8235475
E0V9W2,8233868
E0VED4,8234154
E0VDF4,8238272
E0VXT9,8232915
E0VUR0,8230507
E0VAD1,8232310
E0VCA5,8231511
E0VQ47,8233621
E0VV52,8230937
E0VBK5,8231029
E0VQ45,8233619
E0VUR1,8230508
E0VMV7,8236088
E0VDF7,8238275
E0VB18,8232849
E0VMV6,8236087
E0VGV6,8240195
E0VDF5,8238273
E0VMW9,8236100
E0W492,8239847
E0W389,8236974
E0VHZ1,8237618
E0VHL8,8237447
E0VM29,8229807
E0VJJ0,8230819
E0VV72,8230957
E0VRD2,8237795
E0VY07,8232983
E0VP62,8232002
E0VDR0,8238380
E0VCW9,8238085
E0VCW8,8238086
E0VV70,8238404
E0W115,8234840
E0VV39,8230924
E0VSD5,8234408
E0VDM3,8238343
E0VB20,8232852
E0W2B1,8232678
E0VSD4,8234407
H9U2V9,107364480
Q24982,5701619
Q51504,881247
Q9X6V3,878962
Q9X6V7,878956
C3TQQ7,75202099
Q2TL65,75205004
P95029,887704
Q8CWU5,93739066
